response,set,alg,Variable,Importance,Stderr,type
range,A,xgb,GWT_max_7day,0.24022749168427582,0.013578094565867569,permutation
range,A,xgb,GWL_max_7day,0.1431050841986283,0.00832525189888072,permutation
range,A,xgb,ppt,0.024947147803503166,0.002986928392667013,permutation
range,A,xgb,Air_trange,0.03571950853243576,0.0027769066871529504,permutation
range,A,xgb,WL_daily_range,0.13570085005949561,0.009132146839674742,permutation
range,A,xgb,GWT_range,0.022313505233210008,0.002102786203099369,permutation
range,A,xgb,GWL_range,0.10823355467055477,0.006794942252909923,permutation
range,A,xgb,Water_area_m2_3d,0.26800428235674933,0.011870966123763349,permutation
range,A,xgb,Elev_m,0.3525006436471258,0.007702938885284932,permutation
range,A,xgb,Size_km2,0.9842424880142673,0.022444106602360302,permutation
range,A,rfr,Solar_daily,0.44460763168663586,0.01707421670022706,permutation
range,A,rfr,WL_max_7day,0.15395142069958426,0.007776066973521573,permutation
range,A,rfr,Air_tmax,0.04644633533083059,0.0015129856039256338,permutation
range,A,rfr,Air_tmin_3day,0.05086064137650249,0.002609022531231178,permutation
range,A,rfr,GWT_max_7day,0.18328808083294593,0.008698032753641926,permutation
range,A,rfr,GWL_max_7day,0.16385507274539834,0.005927979688785598,permutation
range,A,rfr,ppt,0.035177687475814186,0.0025547052650969045,permutation
range,A,rfr,Air_trange,0.06674878584301547,0.0037161290177282333,permutation
range,A,rfr,WL_daily_range,0.1825705653881936,0.009247279385033638,permutation
range,A,rfr,GWT_range,0.10444046009783911,0.00503345998700038,permutation
range,A,rfr,GWL_range,0.16013890129281036,0.0069094872103898225,permutation
range,A,rfr,Water_area_m2_3d,0.2839236621361717,0.009755643682276084,permutation
range,A,rfr,Elev_m,0.5706251270460445,0.016412337456866998,permutation
range,A,rfr,Size_km2,0.8251239773335947,0.0184243519438286,permutation
range,B,xgb,Solar_daily,0.9380861967051259,0.030270481823439367,permutation
range,B,xgb,Air_tmax,0.1718073503192132,0.006048538373983745,permutation
range,B,xgb,Air_tmin_3day,0.1942775839211714,0.008520293476426648,permutation
range,B,xgb,ppt,0.16328903954543758,0.009535698811715657,permutation
range,B,xgb,Air_trange,0.24230986835978102,0.010483764968061436,permutation
range,B,xgb,Elev_m,1.8208943865140559,0.03717119417976348,permutation
range,B,xgb,Size_km2,0.8514406890383005,0.022593618902026075,permutation
range,B,rfr,Solar_daily,0.7378744678567382,0.021428143982179394,permutation
range,B,rfr,Air_tmax,0.15897072299402396,0.006978520625980925,permutation
range,B,rfr,Air_tmin_3day,0.14649114101951927,0.0048998912178936085,permutation
range,B,rfr,ppt,0.16341487536583416,0.009282431115875244,permutation
range,B,rfr,Air_trange,0.20465952540366253,0.008229502962857169,permutation
range,B,rfr,Elev_m,1.6009353880725927,0.028573200493681283,permutation
range,B,rfr,Size_km2,0.9987730126183315,0.01637616982615546,permutation
max,A,lme,Solar_2d,0.22249294373283648,0.013665952760630528,permutation
max,A,lme,WL_max_7day,-0.018669982770785444,0.0033364783549223185,permutation
max,A,lme,Air_tmax,0.004645940406289917,7.817490921885638e-4,permutation
max,A,lme,Air_tmin,0.06555447252812167,0.0070620315501846425,permutation
max,A,lme,GWT_max_7day,0.2227326410387398,0.021567835170286435,permutation
max,A,lme,GWL_max_7day,0.01650423860026624,0.015198262315734384,permutation
max,A,lme,ppt,-3.381224197397392e-4,1.5986059370100888e-4,permutation
max,A,lme,WL_daily_range,-0.006314704645398295,0.0012106927248434329,permutation
max,A,lme,GWT_range,-2.288878619345125e-4,3.1059895493790884e-4,permutation
max,A,lme,GWL_range,-0.001364783521064239,4.295680556147138e-4,permutation
max,A,lme,Water_area_m2_3d,-0.011217393530517716,0.0026480881776604773,permutation
max,A,lme,Elev_m,0.46636454244296494,0.02622712005715105,permutation
max,A,lme,Size_km2,0.5153378204717372,0.03316893012097965,permutation
max,B,lme,Solar_2d,0.488112739803343,0.02478692994136942,permutation
max,B,lme,Air_tmax,-0.02302503106881537,0.003451071808584285,permutation
max,B,lme,Air_tmin,0.10327179123547278,0.00782253784845394,permutation
max,B,lme,ppt,-0.0015015143788699615,4.2303110400384745e-4,permutation
max,B,lme,Elev_m,0.40366623556308173,0.02524191739613679,permutation
max,B,lme,Size_km2,0.26758940933111675,0.021886525336965876,permutation
mean,A,lme,Solar_3d,0.09840378232994204,0.00831121767161276,permutation
mean,A,lme,WL_max_7day,0.009456864196524584,0.0012802093571748403,permutation
mean,A,lme,Air_tmin,0.1066693503858227,0.007749289828104622,permutation
mean,A,lme,GWT_max_7day,0.1526133685373729,0.012447345988644005,permutation
mean,A,lme,GWL_max_7day,0.04867469875320178,0.013257187820171032,permutation
mean,A,lme,ppt,0.002585257095407778,9.37711066351035e-4,permutation
mean,A,lme,Air_trange,0.015509850705419482,0.0021807129409789207,permutation
mean,A,lme,WL_daily_range,0.004133061538154381,0.001127413538597057,permutation
mean,A,lme,GWT_range,-2.377527729655604e-5,1.0697563350988818e-5,permutation
mean,A,lme,GWL_range,7.809437065777081e-4,4.916763047594426e-4,permutation
mean,A,lme,Water_area_m2_3d,-0.007178078796041043,0.002612047100411923,permutation
mean,A,lme,Elev_m,0.48331830978483625,0.03475833522000865,permutation
mean,A,lme,Size_km2,0.8793287987268619,0.034469634424953044,permutation
mean,B,lme,Solar_3d,0.13772112698114397,0.009068079942262554,permutation
mean,B,lme,Air_tmin,0.10605031033761052,0.0056051999053054425,permutation
mean,B,lme,ppt,0.0026098409024597593,6.852730016922413e-4,permutation
mean,B,lme,Air_trange,0.0135352532092755,0.002143175396214127,permutation
mean,B,lme,Elev_m,1.2780725691053618,0.0345588245587089,permutation
mean,B,lme,Size_km2,1.1278650930981933,0.030169666650948328,permutation
range,A,lme,Solar_daily,0.11389638978074529,0.00995053370771005,permutation
range,A,lme,WL_max_7day,5.243950116734398e-4,6.636552228355788e-4,permutation
range,A,lme,Air_tmin_3day,0.006790106055864997,0.0030871135466823125,permutation
range,A,lme,GWT_max_7day,0.02794947084352629,0.0034444615617081776,permutation
range,A,lme,GWL_max_7day,-5.922864381594506e-5,2.541586981696837e-4,permutation
range,A,lme,ppt,0.0010748257846203702,7.000947507856355e-4,permutation
range,A,lme,Air_trange,1.1292822686178594e-4,3.0376437136374128e-5,permutation
range,A,lme,WL_daily_range,-0.006572432283858176,0.00487038991397324,permutation
range,A,lme,GWT_range,5.581345568429596e-4,1.9354703543913323e-4,permutation
range,A,lme,GWL_range,-0.00867880097382313,0.0031538351089275608,permutation
range,A,lme,Water_area_m2_3d,0.017967690509384782,0.002585004966743288,permutation
range,A,lme,Elev_m,0.025967807361667282,0.007337197373253081,permutation
range,A,lme,Size_km2,0.5603139731253532,0.023523874715115252,permutation
range,B,lme,Solar_daily,0.2728455581113767,0.014890261019883836,permutation
range,B,lme,Air_tmin_3day,4.686870102165286e-4,0.0021199956897073927,permutation
range,B,lme,ppt,0.00576694172268738,0.0015669933138792488,permutation
range,B,lme,Air_trange,3.3615489867837577e-4,9.621990527274789e-5,permutation
range,B,lme,Elev_m,1.0051798402605605,0.03236141171855318,permutation
range,B,lme,Size_km2,1.1139978950573175,0.029741083959462962,permutation
