response,set,alg,ar1_phi,term,estimate,std.error,df,statistic,p.value
mean,A,lme,0.985089438485866,Air_trange,0.02238951210889029,0.0035352746420422533,1067,6.333174753279237,3.533059249484172e-10
mean,A,lme,0.985089438485866,WL_daily_range,-0.03662564963293162,0.020747692060578218,1067,-1.765287894479715,0.07780139293702444
mean,A,lme,0.985089438485866,GWT_range,-0.08558997620811061,0.16721379307072665,1067,-0.5118595460119041,0.6088552303177441
mean,A,lme,0.985089438485866,GWL_range,-0.016019452341111982,0.017519326339461305,1067,-0.9143874616359569,0.3607198687171037
mean,A,lme,0.985089438485866,Water_area_m2_3d,-3.787527935656069e-5,2.9716964194174848e-5,1067,-1.2745339365447377,0.20275174711449395
mean,A,lme,0.985089438485866,Elev_m,-0.005281259663397673,0.005810911067405578,2,-0.9088522612265032,0.45936238569497834
mean,A,lme,0.985089438485866,Size_km2,21.978815577810103,17.23973667027535,2,1.274892766529656,0.33042598231084086
mean,B,lme,0.9654017551818008,(Intercept),15.147500267809486,2.627218402124117,1492,5.7656037486501575,9.87209412747568e-9
mean,B,lme,0.9654017551818008,Solar_3d,0.05931673137259277,0.005646903132517334,1492,10.504294120262331,5.979479030758941e-25
mean,B,lme,0.9654017551818008,Air_tmin,0.08892919295149915,0.004709157293689934,1492,18.884311439471432,1.7170465180122717e-71
mean,B,lme,0.9654017551818008,ppt,-0.008882965355443027,0.003074388867646056,1492,-2.8893434558408284,0.003916241809590467
mean,B,lme,0.9654017551818008,Air_trange,0.01867720205579723,0.0031529904346400835,1492,5.923646913292728,3.90258996191774e-9
mean,B,lme,0.9654017551818008,Elev_m,-0.00840508689517161,0.0025963682004063425,4,-3.237247665356623,0.0317566303931622
mean,B,lme,0.9654017551818008,Size_km2,27.645832713050932,10.113029425090502,4,2.7336845915291628,0.05224419664652985
range,A,lme,0.7649647680962878,(Intercept),3.607597239047674,4.211969500685131,1067,0.8565107697149401,0.39190763105566984
range,A,lme,0.7649647680962878,Solar_daily,0.056493667646800715,0.0039058713475792666,1067,14.463780964473823,1.9782509321625526e-43
range,A,lme,0.7649647680962878,Air_tmin_3day,-0.041470049198492974,0.012599031274664519,1067,-3.2915268082463918,0.0010290977598646168
range,A,lme,0.7649647680962878,GWT_max_7day,-0.2186638711377524,0.08014374716005075,1067,-2.7283958996959625,0.006468867351849208
range,A,lme,0.7649647680962878,GWL_max_7day,-0.05045517399928962,0.09782835308375318,1067,-0.5157520535595008,0.6061344414116532
range,A,lme,0.7649647680962878,ppt,-0.0062238768212517824,0.005139773331432978,1067,-1.21092437738233,0.22619253064247882
range,A,lme,0.7649647680962878,Air_trange,2.9069003904431387e-4,0.005063424743923958,1067,0.057409767844014664,0.9542295311152418
range,A,lme,0.7649647680962878,WL_daily_range,0.18640587170272926,0.03163329575668643,1067,5.892711057883625,5.089174982140051e-9
range,A,lme,0.7649647680962878,GWT_range,-0.14438675690685315,0.2398697436976665,1067,-0.6019381797849387,0.5473431682953245
range,A,lme,0.7649647680962878,GWL_range,0.08778235317906731,0.02697257062187725,1067,3.254504526456507,0.0011715766791058897
