response,set,alg,Variable,Importance,Stderr,type
max,B,xgb,Air_tmean,0.5187249253965943,0.009767051289181018,permutation
max,B,xgb,Air_tmin,0.44332149376280205,0.01272342725352822,permutation
max,B,xgb,ppt,0.1749902211628792,0.0058596996584232,permutation
max,B,xgb,Air_trange,0.3172671630730491,0.006596667659742394,permutation
max,B,xgb,Elev_m,1.5357573737337138,0.026663290371271964,permutation
max,B,xgb,Size_km2,0.9101592760841836,0.024604553109657437,permutation
max,B,rfr,Solar_2d,1.4924657157532484,0.03617575091910186,permutation
max,B,rfr,Air_tmean,0.4182218598833564,0.011596467906256964,permutation
max,B,rfr,Air_tmin,0.2981087136259888,0.008356357972214373,permutation
max,B,rfr,ppt,0.09042559971425304,0.004021039114926627,permutation
max,B,rfr,Air_trange,0.19785412563804775,0.005004853757226598,permutation
max,B,rfr,Elev_m,1.2858261184369653,0.03365784700038291,permutation
max,B,rfr,Size_km2,0.9708884627490544,0.028843076040299776,permutation
mean,A,xgb,Solar_3d,0.45262159681517206,0.01006615021090317,permutation
mean,A,xgb,WL_max_7day,1.1344227199235086,0.022102324312088917,permutation
mean,A,xgb,Air_tmax_2day,0.5484096918413276,0.017042512557637078,permutation
mean,A,xgb,Air_tmin,0.5912075797199785,0.014225178970473967,permutation
mean,A,xgb,GWT_max,0.6441668799842704,0.013575657889518186,permutation
mean,A,xgb,GWL_mean_7day,1.7175538284472496,0.030244151305854214,permutation
mean,A,xgb,ppt,0.047959449038724795,0.0013025238217810895,permutation
mean,A,xgb,Air_trange,0.15771309232302413,0.004117608320722429,permutation
mean,A,xgb,WL_daily_range,0.34763968773370657,0.012047260447095181,permutation
mean,A,xgb,GWT_range,0.12772081528373,0.00646622523411302,permutation
mean,A,xgb,GWL_range,0.1778659209764843,0.00589725691851589,permutation
mean,A,xgb,Water_area_m2_3d,0.4910280677195092,0.007828183214026138,permutation
mean,A,xgb,Elev_m,0.633384388300103,0.013602461380265593,permutation
mean,A,xgb,Size_km2,0.6575967488384608,0.015399546084656206,permutation
mean,A,rfr,Solar_3d,0.42495504947402696,0.01145111801437045,permutation
mean,A,rfr,WL_max_7day,0.8351520932855716,0.02650529943665625,permutation
mean,A,rfr,Air_tmax_2day,0.35525812737492535,0.008418760103063236,permutation
mean,A,rfr,Air_tmin,0.41950056815553183,0.015213687486315037,permutation
mean,A,rfr,GWT_max,0.3751829252970632,0.009537754389007811,permutation
mean,A,rfr,GWL_mean_7day,0.9901301848003596,0.021109051009086884,permutation
mean,A,rfr,ppt,0.04792750542339618,0.002577090486048765,permutation
mean,A,rfr,Air_trange,0.07804644542719415,0.0034392432025176834,permutation
mean,A,rfr,WL_daily_range,0.18064923758139825,0.0117989978971761,permutation
mean,A,rfr,GWT_range,0.05260714968966739,0.002433454498470325,permutation
mean,A,rfr,GWL_range,0.13408586840751635,0.008272794295109525,permutation
mean,A,rfr,Water_area_m2_3d,0.31874523875929883,0.01103543543071593,permutation
mean,A,rfr,Elev_m,0.722459900830431,0.01963039277082989,permutation
