response,set,alg,Site,RMSE,MAE,R2,NSE,n_oof
range,B,xgb,Anvil,1.3689873073374916,1.0653885531943352,0.28653193535796284,0.26154977604466567,244
range,B,xgb,Butte,0.6755817990000471,0.535229423747688,0.6947878594574006,0.6947496097747701,244
range,B,xgb,Cooper,1.368228896689929,1.0502812757640052,0.2826307703118174,0.233010780397369,199
range,B,xgb,Crater,0.3186130024208008,0.25376446707078,0.3909456402241442,0.3448498571669174,244
range,B,xgb,Hideaway,1.2401636196985442,0.9889172867673115,0.6936289641176482,0.6904498707539888,206
range,B,xgb,Pint,0.3517169893580907,0.24368162903470583,0.1060935017739353,-0.14181822242870035,122
range,B,xgb,Sam,0.45307495774297807,0.3626340761028352,0.4261913158975223,0.41657733436905187,244
range,B,rfr,Anvil,1.310693772242744,1.0433658806201989,0.3242606918393708,0.32309946836680625,244
range,B,rfr,Butte,0.6960549660440043,0.5508450156068637,0.6872522957279764,0.6759683597695214,244
range,B,rfr,Cooper,1.2752934434735126,0.9772956177450284,0.3406753720613359,0.33366596487364475,199
range,B,rfr,Crater,0.2995300015813727,0.24337744220036012,0.4401236167114537,0.4209787436473402,244
range,B,rfr,Hideaway,1.2060191942077225,0.9820374607923001,0.7216984619128836,0.7072604135180403,206
range,B,rfr,Pint,0.33120586421807163,0.24646132153919295,0.11218458400451078,-0.012526296032294937,122
range,B,rfr,Sam,0.4236794067715358,0.33910545714007434,0.5045396965825681,0.48982650659872773,244
