Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type,kind
Anvil,mean,B,RFR,orig,Air_tmin,0.5114722841142775,0.03345039668793578,20,permutation,permutation
Anvil,mean,B,RFR,orig,Air_trange,0.3525947602329671,NA,20,cpi,cpi
Anvil,mean,B,RFR,orig,Air_trange,0.3468858174890965,0.021421260668499618,20,permutation,permutation
Anvil,mean,B,RFR,orig,ppt,0.19294110440191892,NA,20,cpi,cpi
Anvil,mean,B,RFR,orig,ppt,0.19182968413644946,0.022199912211731412,20,permutation,permutation
Anvil,mean,B,XGB,pass2,Solar_3d,2.1294896689564395,NA,20,cpi,cpi
Anvil,mean,B,XGB,pass2,Solar_3d,2.0854831884058362,0.07168283693267816,20,permutation,permutation
Anvil,mean,B,XGB,pass2,Air_tmin,0.5690432317805649,0.03483800617141641,20,permutation,permutation
Anvil,mean,B,XGB,pass2,Air_tmin,0.5643150461554879,NA,20,cpi,cpi
Anvil,mean,B,XGB,pass2,Air_trange,0.32050672628680615,NA,20,cpi,cpi
Anvil,mean,B,XGB,pass2,Air_trange,0.31085502919656277,0.026892854567130454,20,permutation,permutation
Anvil,mean,B,XGB,pass2,ppt,0.27629603231940303,0.02690821758685837,20,permutation,permutation
Anvil,mean,B,XGB,pass2,ppt,0.2646059442768029,NA,20,cpi,cpi
Anvil,range,A,GLS,gls,Solar_daily,0.34270833820808433,NA,20,cpi,cpi
Anvil,range,A,GLS,gls,Solar_daily,0.3229418802688567,0.030210202221583767,20,permutation,permutation
Anvil,range,A,GLS,gls,GWT_min_7day,0.16445710852203077,NA,20,cpi,cpi
Anvil,range,A,GLS,gls,GWT_min_7day,0.16014343904597522,0.023572093146513137,20,permutation,permutation
Anvil,range,A,GLS,gls,GWL_max_7day,0.039960962278160775,0.011657978199597858,20,permutation,permutation
Anvil,range,A,GLS,gls,GWL_max_7day,0.037021805354443105,NA,20,cpi,cpi
Anvil,range,A,GLS,gls,ppt_7day,0.0065348035242437374,NA,20,cpi,cpi
Anvil,range,A,GLS,gls,Air_tmean_7day,0.005752508421044467,NA,20,cpi,cpi
Anvil,range,A,GLS,gls,ppt_7day,0.0051133711868945105,0.0030286208885913356,20,permutation,permutation
Anvil,range,A,GLS,gls,Air_trange,0.00295642767312565,NA,20,cpi,cpi
Anvil,range,A,GLS,gls,Air_trange,0.001814622368160379,0.001808013275870707,20,permutation,permutation
Anvil,range,A,GLS,gls,Air_tmean_7day,9.729631156007556e-4,0.013481360612005562,20,permutation,permutation
Anvil,range,A,GLS,gls,GWT_range,-0.0013376237388372791,NA,20,cpi,cpi
Anvil,range,A,GLS,gls,GWT_range,-0.001515840220375797,0.0010293699371269809,20,permutation,permutation
Anvil,range,A,GLS,gls,WL_daily_range,-0.020819298633200978,NA,20,cpi,cpi
Anvil,range,A,GLS,gls,WL_daily_range,-0.0210732055712576,0.003328079342352008,20,permutation,permutation
Anvil,range,A,RFR,pass2,WL_daily_range,0.8714196363337183,0.0629645812887308,20,permutation,permutation
Anvil,range,A,RFR,pass2,WL_daily_range,0.8567153770432412,NA,20,cpi,cpi
Anvil,range,A,RFR,pass2,Solar_daily,0.804119026700776,0.03633226391766766,20,permutation,permutation
Anvil,range,A,RFR,pass2,Solar_daily,0.768501081157372,NA,20,cpi,cpi
Anvil,range,A,RFR,pass2,GWL_max_7day,0.49904348291422057,NA,20,cpi,cpi
Anvil,range,A,RFR,pass2,GWL_max_7day,0.4976481566486026,0.03383581751430507,20,permutation,permutation
Anvil,range,A,RFR,pass2,GWT_min_7day,0.2692303460410885,NA,20,cpi,cpi
Anvil,range,A,RFR,pass2,GWT_min_7day,0.2641559161713553,0.019327042052961377,20,permutation,permutation
Anvil,range,A,RFR,pass2,ppt_7day,0.1669837106912092,NA,20,cpi,cpi
Anvil,range,A,RFR,pass2,ppt_7day,0.16622484524445919,0.021091841311000746,20,permutation,permutation
Anvil,range,A,RFR,pass2,Air_tmean_7day,0.07565526813622384,NA,20,cpi,cpi
Anvil,range,A,RFR,pass2,Air_tmean_7day,0.07280029822580532,0.0062227516046578606,20,permutation,permutation
Anvil,range,A,RFR,pass2,Air_trange,0.07215204632902014,0.006232665652646436,20,permutation,permutation
Anvil,range,A,RFR,pass2,Air_trange,0.07025112480001977,NA,20,cpi,cpi
Anvil,range,A,RFR,pass2,GWT_range,0.05297615654193108,NA,20,cpi,cpi
Anvil,range,A,RFR,pass2,GWT_range,0.052249093830692594,0.0063738164416042905,20,permutation,permutation
Anvil,range,A,XGB,pass2,Solar_daily,0.7791860633888706,NA,20,cpi,cpi
Anvil,range,A,XGB,pass2,Solar_daily,0.771787269937165,0.049412366405991934,20,permutation,permutation
Anvil,range,A,XGB,pass2,WL_daily_range,0.7033701429053343,NA,20,cpi,cpi
Anvil,range,A,XGB,pass2,WL_daily_range,0.6959385311115442,0.056954507799265634,20,permutation,permutation
Anvil,range,A,XGB,pass2,GWL_max_7day,0.32939346665732566,NA,20,cpi,cpi
Anvil,range,A,XGB,pass2,GWT_min_7day,0.32425723229575965,0.02543379121500205,20,permutation,permutation
Anvil,range,A,XGB,pass2,GWT_min_7day,0.32184510122059795,NA,20,cpi,cpi
Anvil,range,A,XGB,pass2,GWL_max_7day,0.3207488007682917,0.030248263703601463,20,permutation,permutation
Anvil,range,A,XGB,pass2,ppt_7day,0.1308252319379843,NA,20,cpi,cpi
Anvil,range,A,XGB,pass2,ppt_7day,0.12657752303993947,0.018928364616881143,20,permutation,permutation
Anvil,range,A,XGB,pass2,Air_trange,0.07977931027523623,0.009440313657673841,20,permutation,permutation
Anvil,range,A,XGB,pass2,Air_trange,0.0789123740851917,NA,20,cpi,cpi
Anvil,range,A,XGB,pass2,Air_tmean_7day,0.06046300657643722,NA,20,cpi,cpi
Anvil,range,A,XGB,pass2,Air_tmean_7day,0.054266173259135395,0.008872343882645581,20,permutation,permutation
Anvil,range,A,XGB,pass2,GWT_range,0.022039863453034807,0.005440000475661164,20,permutation,permutation
Anvil,range,A,XGB,pass2,GWT_range,0.020671648994164682,NA,20,cpi,cpi
Anvil,range,B,GLS,gls,Solar_daily,0.40269766633401183,NA,20,cpi,cpi
Anvil,range,B,GLS,gls,Solar_daily,0.3839195504817146,0.0414506400400608,20,permutation,permutation
Anvil,range,B,GLS,gls,Air_tmean_7day,0.08930228361966663,NA,20,cpi,cpi
Anvil,range,B,GLS,gls,Air_tmean_7day,0.07252558641239568,0.026350075129638988,20,permutation,permutation
Anvil,range,B,GLS,gls,Air_trange,0.00742023230364286,NA,20,cpi,cpi
Anvil,range,B,GLS,gls,Air_trange,0.006903954139618695,0.0028292529305913353,20,permutation,permutation
Anvil,range,B,GLS,gls,ppt_7day,0.002667628706436731,0.0012466197016890918,20,permutation,permutation
Anvil,range,B,GLS,gls,ppt_7day,0.0025841627944669376,NA,20,cpi,cpi
Anvil,range,B,RFR,orig,Solar_daily,1.0732322536052643,NA,20,cpi,cpi
Anvil,range,B,RFR,orig,Solar_daily,1.056646412483262,0.07462243179845729,20,permutation,permutation
Anvil,range,B,RFR,orig,ppt_7day,0.45294667364452534,0.03172849029399681,20,permutation,permutation
Anvil,range,B,RFR,orig,ppt_7day,0.44275058396140254,NA,20,cpi,cpi
Anvil,range,B,RFR,orig,Air_tmean_7day,0.367381207394896,0.02067759742576563,20,permutation,permutation
Anvil,range,B,RFR,orig,Air_tmean_7day,0.3622589058627826,NA,20,cpi,cpi
Anvil,range,B,RFR,orig,Air_trange,0.23856553501445577,0.020860518407127382,20,permutation,permutation
Anvil,range,B,RFR,orig,Air_trange,0.23397296124395783,NA,20,cpi,cpi
Anvil,range,B,XGB,orig,Solar_daily,1.2209705057169307,NA,20,cpi,cpi
Anvil,range,B,XGB,orig,Solar_daily,1.1808337178142583,0.06410628724119574,20,permutation,permutation
Anvil,range,B,XGB,orig,ppt_7day,0.598856714396698,NA,20,cpi,cpi
Anvil,range,B,XGB,orig,ppt_7day,0.5859849697204568,0.03440176960678633,20,permutation,permutation
Anvil,range,B,XGB,orig,Air_tmean_7day,0.49635360289163954,NA,20,cpi,cpi
