Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type
Cooper,mean,B,RFR,pass2,Air_tmin_3day,0.6268239076114389,NA,20,cpi
Cooper,mean,B,RFR,pass2,Solar_daily,0.3953870091066724,NA,20,cpi
Cooper,mean,B,RFR,pass2,ppt_7day,0.13688567350017514,NA,20,cpi
Cooper,mean,B,RFR,pass2,Air_trange,0.0923912056306985,NA,20,cpi
Cooper,mean,B,XGB,pass2,Air_tmin_3day,0.53415347977587,NA,20,cpi
Cooper,mean,B,XGB,pass2,Solar_daily,0.3155227959935149,NA,20,cpi
Cooper,mean,B,XGB,pass2,ppt_7day,0.0776850055395556,NA,20,cpi
Cooper,mean,B,XGB,pass2,Air_trange,0.04386734718545085,NA,20,cpi
Cooper,range,A,GLS,gls,Solar_daily,0.5528132648688253,NA,20,cpi
Cooper,range,A,GLS,gls,ppt,0.03035529244756885,NA,20,cpi
Cooper,range,A,GLS,gls,Air_tmin_7day,0.024626695056253145,NA,20,cpi
Cooper,range,A,GLS,gls,Air_tmean,0.017967058844697292,NA,20,cpi
Cooper,range,A,GLS,gls,Air_trange,0.017038634018988086,NA,20,cpi
Cooper,range,A,RFR,orig,Solar_daily,0.4373389804765585,NA,20,cpi
Cooper,range,A,RFR,orig,ppt,0.24178901302857664,NA,20,cpi
Cooper,range,A,RFR,orig,Air_trange,0.24068877473051958,NA,20,cpi
Cooper,range,A,RFR,orig,Air_tmin_7day,0.2283120272709887,NA,20,cpi
Cooper,range,A,RFR,orig,Air_tmean,0.20983624295769687,NA,20,cpi
Cooper,range,A,XGB,pass2,Solar_daily,0.9828031309168825,NA,20,cpi
Cooper,range,A,XGB,pass2,ppt,0.3499825989253055,NA,20,cpi
Cooper,range,A,XGB,pass2,Air_trange,0.33084955615860084,NA,20,cpi
Cooper,range,A,XGB,pass2,Air_tmin_7day,0.3009405098484126,NA,20,cpi
Cooper,range,A,XGB,pass2,Air_tmean,0.2756339084489358,NA,20,cpi
Cooper,range,B,GLS,gls,Solar_daily,0.588792650462041,NA,20,cpi
Cooper,range,B,GLS,gls,Air_tmin_7day,0.028487232819796704,NA,20,cpi
Cooper,range,B,GLS,gls,ppt,0.025913509157167613,NA,20,cpi
Cooper,range,B,GLS,gls,Air_tmean,0.02018109885248842,NA,20,cpi
Cooper,range,B,GLS,gls,Air_trange,0.01674442059471104,NA,20,cpi
Cooper,range,B,RFR,orig,Solar_daily,0.4311984169107377,NA,20,cpi
