Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type
Butte,max,A,RFR,orig,Air_tmin,0.9546989936935276,0.04034146806449942,20,cpi
Butte,max,A,RFR,orig,GWT_min_7day,0.1611988304581348,0.01239412437876071,20,cpi
Butte,max,A,RFR,orig,Air_trange,0.11491793779147466,0.00816828462834343,20,cpi
Butte,max,A,RFR,orig,ppt_7day,0.10864511976588252,0.00786555458841434,20,cpi
Butte,max,A,RFR,orig,WL_min_2day,0.05910844075498833,0.00410074454942957,20,cpi
Butte,max,A,RFR,orig,WL_daily_range,0.05666971517394081,0.00443992506830757,20,cpi
Butte,max,A,RFR,orig,WL_max_2day,0.04362108424305355,0.00355001942509837,20,cpi
Butte,max,A,RFR,orig,GWT_range,0.01525518865078334,0.0012960667048193,20,cpi
Butte,max,A,XGB,orig,Solar_2d,1.09665433976499,0.04524764524561612,20,cpi
Butte,max,A,XGB,orig,Air_tmin,0.9671580549403545,0.0488805840962145,20,cpi
Butte,max,A,XGB,orig,Air_trange,0.14302191426373184,0.01252630951266395,20,cpi
Butte,max,A,XGB,orig,WL_daily_range,0.12258120791026764,0.01424436926593898,20,cpi
Butte,max,A,XGB,orig,GWT_min_7day,0.11836064290258484,0.00942419619958432,20,cpi
Butte,max,A,XGB,orig,ppt_7day,0.07683580335043061,0.00832551870127284,20,cpi
Butte,max,A,XGB,orig,WL_min_2day,0.05142774136779657,0.01127952534658791,20,cpi
Butte,max,A,XGB,orig,WL_max_2day,0.04094947635796964,0.0057012268461446,20,cpi
Butte,max,A,XGB,orig,GWT_range,0.00593204914235154,0.00146143581168225,20,cpi
Butte,max,B,GLS,gls,Solar_2d,0.964580436991214,0.04960652732181864,20,cpi
Butte,max,B,GLS,gls,Air_tmin,0.7627389352788636,0.05266982316851049,20,cpi
Butte,max,B,GLS,gls,ppt_7day,0.01598503782015559,0.00392550505362723,20,cpi
Butte,max,B,GLS,gls,Air_trange,0.00221459285632691,8.334038465562327e-4,20,cpi
Butte,max,B,RFR,pass2,Solar_2d,1.3200417735159378,0.05695564949325104,20,cpi
Butte,max,B,RFR,pass2,Air_tmin,1.1274391481328108,0.05462541921756315,20,cpi
Butte,max,B,RFR,pass2,Air_trange,0.2378541438842036,0.01134251811543391,20,cpi
Butte,max,B,RFR,pass2,ppt_7day,0.19989819881134704,0.01234772679609277,20,cpi
Butte,max,B,XGB,pass2,Solar_2d,1.3022769990333178,0.0399761902809742,20,cpi
Butte,max,B,XGB,pass2,Air_tmin,1.1251408106549057,0.05449085635154159,20,cpi
Butte,max,B,XGB,pass2,Air_trange,0.1899029125787795,0.01448650054591093,20,cpi
Butte,max,B,XGB,pass2,ppt_7day,0.12847441150309433,0.01097505591179341,20,cpi
Butte,mean,A,GLS,gls,Air_tmin,0.6668257267712353,0.03969179166117775,20,cpi
Butte,mean,A,GLS,gls,Solar_3d,0.3478303290319086,0.02937354196684499,20,cpi
Butte,mean,A,GLS,gls,WL_max_2day,0.15048883896879484,0.0146998034500154,20,cpi
Butte,mean,A,GLS,gls,Air_trange,0.09861277561840992,0.01487888057042235,20,cpi
Butte,mean,A,GLS,gls,GWT_max,0.091672350378458,0.01506086419200514,20,cpi
Butte,mean,A,GLS,gls,WL_min_3day,0.08897101875907465,0.01752738625770227,20,cpi
Butte,mean,A,GLS,gls,GWT_range,-3.255304101040801e-5,0.00146434686373685,20,cpi
Butte,mean,A,GLS,gls,GWL_range,-0.00236710128389444,7.759355212199196e-4,20,cpi
Butte,mean,A,GLS,gls,ppt_7day,-0.01623571726868888,0.00313611358555091,20,cpi
Butte,mean,A,RFR,orig,Air_tmin,0.8230591882497448,0.03008439308923653,20,cpi
Butte,mean,A,RFR,orig,Air_tmax_2day,0.4680838255465491,0.01940845481755613,20,cpi
Butte,mean,A,RFR,orig,Solar_3d,0.32513777852259185,0.02024867116758953,20,cpi
Butte,mean,A,RFR,orig,ppt_7day,0.09282115055960838,0.00859167006787709,20,cpi
Butte,mean,A,RFR,orig,WL_min_3day,0.08922945017144535,0.00501140813326851,20,cpi
Butte,mean,A,RFR,orig,GWT_max,0.07867457755394716,0.00732282071426945,20,cpi
Butte,mean,A,RFR,orig,WL_max_2day,0.078110384755197,0.00433093389670448,20,cpi
Butte,mean,A,RFR,orig,Air_trange,0.06766605148964286,0.00516462688975878,20,cpi
Butte,mean,A,RFR,orig,GWL_range,0.05845540195118368,0.00447862016505974,20,cpi
Butte,mean,A,RFR,orig,GWT_range,0.01019562867436402,9.890986471239394e-4,20,cpi
Butte,mean,A,XGB,orig,Air_tmin,1.091021391750116,0.03001266086034836,20,cpi
Butte,mean,A,XGB,orig,Solar_3d,0.5214431280141716,0.02680004915368996,20,cpi
Butte,mean,A,XGB,orig,Air_tmax_2day,0.47654654238274485,0.01490283155821217,20,cpi
Butte,mean,A,XGB,orig,WL_min_3day,0.3425226815745583,0.01746308003706653,20,cpi
Butte,mean,A,XGB,orig,WL_max_2day,0.2799082989771202,0.008862123385723,20,cpi
Butte,mean,A,XGB,orig,GWT_max,0.17870785807469564,0.00980261836118831,20,cpi
Butte,mean,A,XGB,orig,GWL_range,0.1577152389704941,0.0086249924727397,20,cpi
Butte,mean,A,XGB,orig,Air_trange,0.13982135598751538,0.00533915488269837,20,cpi
Butte,mean,A,XGB,orig,ppt_7day,0.06161644128584027,0.00330736418222549,20,cpi
Butte,mean,A,XGB,orig,GWT_range,0.02261630598794656,0.0016564857001213,20,cpi
Butte,mean,B,GLS,gls,Air_tmin,0.6947480253352978,0.04566325441996492,20,cpi
Butte,mean,B,GLS,gls,Solar_3d,0.2110382762910734,0.02311338078244484,20,cpi
Butte,mean,B,GLS,gls,Air_trange,0.05554435420887926,0.01032691314517836,20,cpi
Butte,mean,B,GLS,gls,ppt_7day,-0.00526099264514362,9.688498746124384e-4,20,cpi
Butte,mean,B,RFR,orig,Air_tmin,0.9867282039727248,0.03112350141375379,20,cpi
Butte,mean,B,RFR,orig,Air_tmax_2day,0.4725239566549667,0.02664207153514358,20,cpi
Butte,mean,B,RFR,orig,Solar_3d,0.4029224911417503,0.0229175735259993,20,cpi
Butte,mean,B,RFR,orig,Air_trange,0.11153299056349568,0.00775884667028964,20,cpi
Butte,mean,B,RFR,orig,ppt_7day,0.0950336578935953,0.00806235620074266,20,cpi
Butte,mean,B,XGB,pass2,Air_tmin,0.9191954320400992,0.04707531231696745,20,cpi
Butte,mean,B,XGB,pass2,Solar_3d,0.4598492466571296,0.02017055616257397,20,cpi
Butte,mean,B,XGB,pass2,Air_tmax_2day,0.3909323867478523,0.02603289381144467,20,cpi
Butte,mean,B,XGB,pass2,Air_trange,0.09726360126201644,0.00938793012109237,20,cpi
Butte,mean,B,XGB,pass2,ppt_7day,0.04723327465573329,0.00477437347779924,20,cpi
Butte,range,A,GLS,gls,Solar_daily,0.5530556897476626,0.03506173320481971,20,cpi
Butte,range,A,GLS,gls,WL_daily_range,0.2102076826950784,0.02423414242018847,20,cpi
Butte,range,A,GLS,gls,GWT_min_7day,0.03155955841566327,0.00915645545108799,20,cpi
Butte,range,A,GLS,gls,Air_trange,0.02774410815945743,0.00795034084715952,20,cpi
Butte,range,A,GLS,gls,ppt,0.02269477646603074,0.00756024611234346,20,cpi
Butte,range,A,GLS,gls,Air_tmin_7day,0.01839204581903103,0.00668478289238811,20,cpi
Butte,range,A,GLS,gls,WL_max_7day,0.01713176444650943,0.00673404522642241,20,cpi
Butte,range,A,GLS,gls,GWT_range,0.00100185261946389,9.629786648839792e-4,20,cpi
Butte,range,A,RFR,orig,Solar_daily,0.8430931831539502,0.03223269229268902,20,cpi
Butte,range,A,RFR,orig,WL_daily_range,0.31356055727989346,0.01822618508031,20,cpi
Butte,range,A,RFR,orig,GWT_min_7day,0.2356886211420507,0.01175580751194441,20,cpi
Butte,range,A,RFR,orig,WL_daily_min,0.0703784059987734,0.00796691430398792,20,cpi
Butte,range,A,RFR,orig,WL_max_7day,0.0690146553182604,0.0051386525677626,20,cpi
Butte,range,A,RFR,orig,Air_trange,0.06581731283305414,0.00657537960467006,20,cpi
Butte,range,A,RFR,orig,ppt,0.05947764414423351,0.00700151490306601,20,cpi
Butte,range,A,RFR,orig,Air_tmin_7day,0.04799892410154918,0.0049204184299915,20,cpi
Butte,range,A,RFR,orig,GWT_range,0.00846744665252116,0.0010313686542497,20,cpi
Butte,range,A,XGB,pass2,Solar_daily,0.6413742189002846,0.03634856924912961,20,cpi
Butte,range,A,XGB,pass2,WL_daily_range,0.2614802696562758,0.02040934390968135,20,cpi
Butte,range,A,XGB,pass2,GWT_min_7day,0.1422040951019083,0.01636102587981274,20,cpi
Butte,range,A,XGB,pass2,WL_max_7day,0.06104816423287909,0.00594787169854717,20,cpi
Butte,range,A,XGB,pass2,Air_trange,0.04828106976647198,0.00671100800989417,20,cpi
Butte,range,A,XGB,pass2,ppt,0.02726583869453938,0.00446900629752013,20,cpi
Butte,range,A,XGB,pass2,WL_daily_min,0.02389221791662318,0.00560780337915031,20,cpi
Butte,range,A,XGB,pass2,Air_tmin_7day,0.02256034403956983,0.00297118068023651,20,cpi
Butte,range,A,XGB,pass2,GWT_range,0,0,20,cpi
Butte,range,B,GLS,gls,Solar_daily,0.7402988681892565,0.03756440506453826,20,cpi
Butte,range,B,GLS,gls,Air_tmin_7day,0.11006906561590069,0.01260146416813482,20,cpi
Butte,range,B,GLS,gls,Air_trange,0.0602276679585893,0.01118758072752983,20,cpi
Butte,range,B,GLS,gls,ppt,0.01574370023628774,0.00628632902333001,20,cpi
Butte,range,B,RFR,pass2,Solar_daily,0.8135372666755484,0.04415351337399784,20,cpi
Butte,range,B,RFR,pass2,Air_trange,0.1335336810654436,0.01492061799738263,20,cpi
