Site,Metric,Set,Model,RMSE,MAE,R2,NSE,n_pred,n_oof,n_resamples,rmse_mean,rmse_sd,na_RMSE,na_R2,nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,mtry,splitrule,min.node.size,edge_hit,retune
Pint,mean,A,RFR,0.4936588613850236,0.395057595245903,0.8784822922899408,0.8715015846978404,10,122,5,0.46467417813412415,0.12458732307764023,0,0,NA,NA,NA,NA,NA,NA,NA,5,variance,1,TRUE,TRUE
Pint,mean,A,XGB,0.4536175326718048,0.36795155359236914,0.8926773257767907,0.8915015431193576,10,122,5,0.42308956769584816,0.13527139350266512,0,0,800,6,0.05,0,0.8,1,0.8,NA,NA,NA,TRUE,TRUE
Pint,mean,B,RFR,0.5996429013495758,0.4620028744262236,0.8146293674878154,0.8104039474093022,4,122,5,0.527660305163304,0.23954932727038653,0,0,NA,NA,NA,NA,NA,NA,NA,3,variance,1,TRUE,TRUE
Pint,mean,B,XGB,0.5682654289492822,0.4424202093881076,0.8303621651644157,0.8297267719261674,4,122,5,0.5081253545793836,0.20773578802744896,0,0,800,12,0.05,0.1,1,1,0.8,NA,NA,NA,TRUE,TRUE
Pint,range,A,RFR,0.23304567342696017,0.1480557896174864,0.5237378289661815,0.49870616374390087,10,122,5,0.20829357904283033,0.08968297368959997,0,0,NA,NA,NA,NA,NA,NA,NA,4,variance,5,FALSE,FALSE
Pint,range,A,XGB,0.22843367241481105,0.1467508508221048,0.5277995202985771,0.5183511594371624,10,122,5,0.20705842521420031,0.07950287117725362,0,0,400,6,0.1,0.1,0.8,1,0.8,NA,NA,NA,TRUE,TRUE
Pint,range,B,RFR,0.3236869168810085,0.21844807039099343,0.0541947211515044,0.03292408431324656,4,122,5,0.28717799011092127,0.12177782514656219,0,0,NA,NA,NA,NA,NA,NA,NA,2,variance,15,TRUE,TRUE
Pint,range,B,XGB,0.3223661782599468,0.2095150481442936,0.04530108636157676,0.04079989674965256,4,122,5,0.2830659883148202,0.1285628074119284,0,0,800,6,0.05,1,0.8,1,0.8,NA,NA,NA,TRUE,TRUE
Sam,max,A,RFR,0.5442905638245761,0.43225116718584233,0.6042945679197227,0.6004160542273247,8,244,5,0.5362155371912602,0.10853242289648245,0,0,NA,NA,NA,NA,NA,NA,NA,6,variance,15,TRUE,TRUE
Sam,max,A,XGB,0.5398164211752594,0.4336043459470155,0.6089498700745346,0.606958323119737,8,244,5,0.5345393310021608,0.08987569265782783,0,0,400,9,0.1,1,0.8,1,0.8,NA,NA,NA,TRUE,TRUE
Sam,max,B,RFR,0.6788398748868757,0.5408285147752155,0.3797264893638378,0.3784427876263665,3,244,5,0.6702626696797874,0.10538401139326613,0,0,NA,NA,NA,NA,NA,NA,NA,1,variance,15,TRUE,TRUE
Sam,max,B,XGB,0.7132055060842837,0.5719042328068468,0.3342868306224243,0.3139183631720117,3,244,5,0.7000812771149675,0.13765578131702003,0,0,400,6,0.1,1,0.8,1,0.9,NA,NA,NA,TRUE,TRUE
Sam,mean,A,RFR,0.4097620946037297,0.3193282830949463,0.6708779847912717,0.6629243218301517,8,244,5,0.39932785945456034,0.09829679152914506,0,0,NA,NA,NA,NA,NA,NA,NA,3,variance,1,TRUE,TRUE
Sam,mean,A,XGB,0.4164857650827687,0.3242429121518995,0.6577941802514626,0.651771606346041,8,244,5,0.41159490765068046,0.06704670694155444,0,0,400,12,0.1,0,1,4,0.8,NA,NA,NA,TRUE,TRUE
Sam,mean,B,RFR,0.5918754912045364,0.4429405650895704,0.29887259848279646,0.2967259896934189,3,244,5,0.5861301917362349,0.07768531671629536,0,0,NA,NA,NA,NA,NA,NA,NA,1,variance,15,TRUE,TRUE
Sam,mean,B,XGB,0.607267802019019,0.4534373522488954,0.2878806682575495,0.25967167701775484,3,244,5,0.6000893245176376,0.09108193024407919,0,0,400,6,0.05,1,0.8,1,0.8,NA,NA,NA,TRUE,TRUE
Sam,range,A,RFR,0.3575916776625028,0.27996772431693984,0.6446287155874653,0.6365723335454769,9,244,5,0.3551254528589938,0.04912286956102998,0,0,NA,NA,NA,NA,NA,NA,NA,4,variance,5,FALSE,FALSE
Sam,range,A,XGB,0.3501527462134378,0.27466274476246755,0.651620408806171,0.6515357303536937,9,244,5,0.34735914565389825,0.0473115315712987,0,0,400,9,0.05,0.1,0.8,4,0.8,NA,NA,NA,TRUE,TRUE
Sam,range,B,RFR,0.42982500794734074,0.34513414078297494,0.47900294595018383,0.4749187145969519,4,244,5,0.42826669171459486,0.04611448480740981,0,0,NA,NA,NA,NA,NA,NA,NA,1,variance,3,TRUE,TRUE
Sam,range,B,XGB,0.41876582307932614,0.337139132251505,0.5029885587907877,0.5015912704234259,4,244,5,0.4166317003288873,0.04922470496088614,0,0,800,6,0.05,1,0.8,1,0.8,NA,NA,NA,TRUE,TRUE
